track_name,artist_name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,hotness,cluster
if your heart ain't busy tonight,tanya tucker,70wFqhcAURVcjgMMx6M4ak,0.565,0.635,5,-9.119,0,0.0319,0.14,0.0,0.11,0.841,176.796,audio_features,70wFqhcAURVcjgMMx6M4ak,spotify:track:70wFqhcAURVcjgMMx6M4ak,https://api.spotify.com/v1/tracks/70wFqhcAURVcjgMMx6M4ak,https://api.spotify.com/v1/audio-analysis/70wFqhcAURVcjgMMx6M4ak,184893,4,no,11
i might have said,ronnie milsap,3yZTUB7FAoQG4PZq8cKyDP,0.596,0.358,0,-11.869,1,0.0266,0.277,0.0,0.166,0.238,141.469,audio_features,3yZTUB7FAoQG4PZq8cKyDP,spotify:track:3yZTUB7FAoQG4PZq8cKyDP,https://api.spotify.com/v1/tracks/3yZTUB7FAoQG4PZq8cKyDP,https://api.spotify.com/v1/audio-analysis/3yZTUB7FAoQG4PZq8cKyDP,248693,4,no,3
hand of god,jon bellion,6ej9jEXBeQI7PTbx68KHfi,0.538,0.538,0,-6.601,0,0.164,0.302,0.0,0.121,0.389,153.958,audio_features,6ej9jEXBeQI7PTbx68KHfi,spotify:track:6ej9jEXBeQI7PTbx68KHfi,https://api.spotify.com/v1/tracks/6ej9jEXBeQI7PTbx68KHfi,https://api.spotify.com/v1/audio-analysis/6ej9jEXBeQI7PTbx68KHfi,337551,4,no,3
alphabetical order,joe walsh,7EMZSshbiiPkhR12fwOt0C,0.707,0.688,11,-12.192,0,0.0378,0.00737,0.00153,0.0467,0.557,115.228,audio_features,7EMZSshbiiPkhR12fwOt0C,spotify:track:7EMZSshbiiPkhR12fwOt0C,https://api.spotify.com/v1/tracks/7EMZSshbiiPkhR12fwOt0C,https://api.spotify.com/v1/audio-analysis/7EMZSshbiiPkhR12fwOt0C,297866,4,no,6
the healing kind,lee ann womack,3XtwqL0pHwxVPrRBJnOauD,0.544,0.239,6,-11.757,1,0.0312,0.596,7.27e-05,0.134,0.431,123.039,audio_features,3XtwqL0pHwxVPrRBJnOauD,spotify:track:3XtwqL0pHwxVPrRBJnOauD,https://api.spotify.com/v1/tracks/3XtwqL0pHwxVPrRBJnOauD,https://api.spotify.com/v1/audio-analysis/3XtwqL0pHwxVPrRBJnOauD,182493,4,no,8
too many puppies,primus,30dxVfMjlhBY6fXo3ThhJM,0.487,0.905,2,-5.085,1,0.118,0.0248,9.34e-05,0.175,0.624,159.622,audio_features,30dxVfMjlhBY6fXo3ThhJM,spotify:track:30dxVfMjlhBY6fXo3ThhJM,https://api.spotify.com/v1/tracks/30dxVfMjlhBY6fXo3ThhJM,https://api.spotify.com/v1/audio-analysis/30dxVfMjlhBY6fXo3ThhJM,236827,4,no,10
america,neil diamond,5mY04rUWixYG9amFzMJDhI,0.548,0.488,0,-14.834,1,0.0318,0.00974,0.000205,0.187,0.269,126.446,audio_features,5mY04rUWixYG9amFzMJDhI,spotify:track:5mY04rUWixYG9amFzMJDhI,https://api.spotify.com/v1/tracks/5mY04rUWixYG9amFzMJDhI,https://api.spotify.com/v1/audio-analysis/5mY04rUWixYG9amFzMJDhI,257600,4,no,0
smoking jacket,miranda lambert,7aqLcSYNyo7zHNCdL4X1y6,0.539,0.56,0,-10.253,1,0.0312,0.471,0.0309,0.111,0.153,101.904,audio_features,7aqLcSYNyo7zHNCdL4X1y6,spotify:track:7aqLcSYNyo7zHNCdL4X1y6,https://api.spotify.com/v1/tracks/7aqLcSYNyo7zHNCdL4X1y6,https://api.spotify.com/v1/audio-analysis/7aqLcSYNyo7zHNCdL4X1y6,294573,4,no,10
only the heart may know,dan fogelberg,2L9PjIRJJ9I6yTDUtUKVcf,0.249,0.107,2,-19.023,1,0.0304,0.714,0.0,0.0959,0.334,167.799,audio_features,2L9PjIRJJ9I6yTDUtUKVcf,spotify:track:2L9PjIRJJ9I6yTDUtUKVcf,https://api.spotify.com/v1/tracks/2L9PjIRJJ9I6yTDUtUKVcf,https://api.spotify.com/v1/audio-analysis/2L9PjIRJJ9I6yTDUtUKVcf,251000,3,no,3
in love with you,the heptones,5oUSGQNbFO8VpGb8j35MUu,0.585,0.598,6,-7.46,1,0.0361,0.737,3.84e-06,0.228,0.784,80.019,audio_features,5oUSGQNbFO8VpGb8j35MUu,spotify:track:5oUSGQNbFO8VpGb8j35MUu,https://api.spotify.com/v1/tracks/5oUSGQNbFO8VpGb8j35MUu,https://api.spotify.com/v1/audio-analysis/5oUSGQNbFO8VpGb8j35MUu,175507,4,no,7
